Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Mask,Attenuator,Clock Shift,Half Dev,Toronto,Toronto RPTs,Business,Sudbury,Music & News,Citizen,INT HAM,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment,User CTCSS,S-Meter Squelch,Bell,Internet,
78,100.70000,100.70000, ,Simplex,Auto,CHIN-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
79,101.30000,101.30000, ,Simplex,Auto,CJSA-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
80,103.90000,103.90000, ,Simplex,Auto,CIRR-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
81,104.50000,104.50000, ,Simplex,Auto,CHUM-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
82,105.10000,105.10000, ,Simplex,Auto,CHOQ-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
83,105.50000,105.50000, ,Simplex,Auto,CHRY-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
84,106.50000,106.50000, ,Simplex,Auto,CKAV-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
85,107.10000,107.10000, ,Simplex,Auto,CILQ-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
86,462.56250,462.56250, ,Simplex,FM,FRS 01,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
87,462.56250,462.56250, ,Simplex,FM,FRS 1,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
88,462.58750,462.58750, ,Simplex,FM,FRS 2,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
89,462.61250,462.61250, ,Simplex,FM,FRS 3,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
90,462.63750,462.63750, ,Simplex,FM,FRS 4,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
91,462.66250,462.66250, ,Simplex,FM,FRS 5,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
92,462.68750,462.68750, ,Simplex,FM,FRS 6,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
93,462.71250,462.71250, ,Simplex,FM,FRS 7,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
94,467.56250,467.56250, ,Simplex,FM,FRS 8,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
95,467.58750,467.58750, ,Simplex,FM,FRS 9,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
96,467.61250,467.61250, ,Simplex,FM,FRS 10,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
97,467.63750,467.63750, ,Simplex,FM,FRS 11,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
98,467.66250,467.66250, ,Simplex,FM,FRS 12,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
99,467.68750,467.68750, ,Simplex,FM,FRS 13,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
100,467.71250,467.71250, ,Simplex,FM,FRS 14,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
101,462.55000,462.55000, ,Simplex,FM,GMRS15,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
102,462.57500,462.57500, ,Simplex,FM,GMRS16,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
103,462.60000,462.60000, ,Simplex,FM,GMRS17,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
104,462.62500,462.62500, ,Simplex,FM,GMRS18,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
105,462.65000,462.65000, ,Simplex,FM,GMRS19,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
106,462.67500,462.67500, ,Simplex,FM,GMRS20,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
107,462.70000,462.70000, ,Simplex,FM,GMRS21,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
108,462.72500,462.72500, ,Simplex,FM,GMRS22,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
109,462.55000,462.55000, ,Simplex,FM,GMR15R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
110,462.57500,462.57500, ,Simplex,FM,GMR16R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
111,462.60000,462.60000, ,Simplex,FM,GMR17R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
112,462.62500,462.62500, ,Simplex,FM,GMR18R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
113,462.65000,462.65000, ,Simplex,FM,GMR19R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
114,462.67500,462.67500, ,Simplex,FM,GMR20R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
115,462.70000,462.70000, ,Simplex,FM,GMR21R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
116,462.72500,462.72500, ,Simplex,FM,GMR22R,Tone,141.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
117,446.00625,446.00625, ,Simplex,FM,PMR 1,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
118,446.01875,446.01875, ,Simplex,FM,PMR 2,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
119,446.03125,446.03125, ,Simplex,FM,PMR 3,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
120,446.04375,446.04375, ,Simplex,FM,PMR 4,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
121,446.05625,446.05625, ,Simplex,FM,PMR 5,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
122,446.06875,446.06875, ,Simplex,FM,PMR 6,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
123,446.08125,446.08125, ,Simplex,FM,PMR 7,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
124,446.09375,446.09375, ,Simplex,FM,PMR 8,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
125,151.82000,151.82000, ,Simplex,FM,MURS 1,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
126,151.88000,151.88000, ,Simplex,FM,MURS 2,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
127,151.94000,151.94000, ,Simplex,FM,MURS 3,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
128,154.57000,154.57000, ,Simplex,FM,MURS 4,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
129,154.60000,154.60000, ,Simplex,FM,MURS 5,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
130,151.62500,151.62500, ,Simplex,FM,BUSRED,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
131,151.95500,151.95500, ,Simplex,FM,BUSPUR,Tone,67.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
132,155.16000,155.16000, ,Simplex,FM,SAREMT,Tone,127.3 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
133,146.42000,146.42000, ,Simplex,FM,HAM 42,Tone,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
134,146.52000,146.52000, ,Simplex,FM,HAM 52,Tone,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
135,146.55000,146.55000, ,Simplex,FM,HAM 55,Tone,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
136,446.00000,446.00000, ,Simplex,FM,HAMUHF,Tone,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
137,446.03000,446.03000, ,Simplex,FM,HAM U3,Tone,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
