Channel Number,Receive Frequency,Transmit Frequency,Offset Direction,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,RX DCS,Comment,Skip
69,444.85,449.85,+,VE3UKW,Tone,136.5,88.5,23,23,Toronto,
72,53.35,52.35,-,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
74,442.7,447.7,+,VE3YYZ,None,88.5,88.5,23,23,Toronto,
75,147.18,147.78,+,VE3YYZ,None,88.5,88.5,23,23,Toronto,
77,144.94,145.54,+,VE3YYZ,None,88.5,88.5,23,23,Toronto,
78,443.025,448.025,+,VA3SCR,Tone,103.5,88.5,23,23,Toronto,
79,444.45,449.45,+,VA3BMI,Tone,103.5,88.5,23,23,Toronto,
80,53.39,52.39,-,VA3ECT,,88.5,88.5,23,23,Toronto,
81,146.94,146.34,-,VE3TOR,Tone,103.5,88.5,23,23,Toronto,
88,443.325,448.325,+,VE3VOP,T SQL,103.5,103.5,23,23,Toronto,
92,443.4,448.4,+,VE3ELB,Tone,131.8,88.5,23,23,Toronto,
94,444.925,449.925,+,VA3DHJ,T SQL,100,100,23,23,Toronto,
98,442.4125,447.4125,+,VA3SLU,None,88.5,88.5,23,23,Toronto,
8,147.27,147.87,+,VE3TNC,Tone,103.5,88.5,23,23,North York,
57,443.775,448.775,+,VE3JOP,Tone,103.5,88.5,23,23,Vaughan,
2,146.94,146.34,-,VE3TOR,Tone,103.5,88.5,23,23,Scarborough,
19,145.37,144.77,-,VE3CTV,None,88.5,88.5,23,23,Scarborough,
33,224.78,223.18,-,VE3RAL,None,88.5,88.5,23,23,Scarborough,
51,443.35,448.35,+,VE3RTC,Tone,131.8,88.5,23,23,Scarborough,
56,443.75,448.75,+,VA3GTU,Tone,103.5,88.5,23,23,Scarborough,
58,443.825,448.825,+,VA3HKG,Tone,88.5,88.5,23,23,Scarborough,
83,146.745,146.145,-,VE3RTC,Tone,136.5,88.5,23,23,Scarborough,
59,444.225,449.225,+,VE3YRC,T SQL,88.5,103.5,23,23,Richmond Hill,
22,147.015,147.615,+,VE3OAK,T SQL,131.8,131.8,23,23,Oakville,
60,444.325,449.325,+,VE3OAK,Tone,131.8,88.5,23,23,Oakville,
97,442.0625,447.0625,+,VE3OAK,None,88.5,88.5,23,23,Oakville,
3,145.43,144.83,-,VE3MIS,Tone,103.5,88.5,23,23,Mississauga,
64,444.575,449.575,+,VE3MIS,Tone,103.5,88.5,23,23,Mississauga,
76,444.25,449.25,+,VA3PMO,T SQL,103.5,103.5,23,23,Mississauga,
87,146.445,146.445,x,VA3ABS,None,88.5,88.5,23,23,Mississauga,
90,145.45,144.85,-,,None,88.5,88.5,23,23,Mississauga,
40,442.275,447.275,+,VA3CTR,Tone,103.5,88.5,23,23,Markham,
44,442.775,447.775,+,VA3GTU,Tone,103.5,88.5,23,23,Etobicoke,
45,442.8,447.8,+,VA3GTU,Tone,103.5,88.5,23,23,Etobicoke,
1,442.2125,447.2125,+,VA3ITL,None,88.5,88.5,23,23,Maple,Yes
95,147.43,147.43,x,,None,88.5,88.5,23,23,Maple,Yes
23,146.97,146.37,-,VA3SUP,Tone,156.7,88.5,23,23,Whitby,Yes
24,147.15,147.75,+,VE3WOM,Tone,103.5,88.5,23,23,Whitby,Yes
31,224.66,223.06,-,VA3UYP,Tone,103.5,88.5,23,23,Whitby,Yes
52,443.475,448.475,+,VE3WOM,Tone,103.5,88.5,23,23,Whitby,Yes
61,444.375,449.375,+,VE3WOQ,Tone,103.5,88.5,23,23,Whitby,Yes
5,145.35,144.75,-,VE3YRA,Tone,103.5,88.5,23,23,King City,Yes
12,444.3,449.3,+,VE3UKC,Tone,103.5,88.5,23,23,King City,Yes
18,145.31,144.71,-,VE3GSR,Tone,103.5,88.5,23,23,King City,Yes
85,146.61,146.01,-,VE3WAS,T SQL,103.5,103.5,23,23,King City,Yes
96,146.895,146.295,-,VE3SKV,T SQL,88.5,88.5,23,23,Caledon,Yes
26,147.21,147.81,+,VE3RSB,Tone,131.8,88.5,23,23,Burlington,Yes
32,224.74,223.14,-,VE3RSB,Tone,131.8,88.5,23,23,Burlington,Yes
36,224.96,223.36,-,VE3WIK,T SQL,131.8,131.8,23,23,Burlington,Yes
49,443.15,448.15,+,VE3BUR,None,88.5,88.5,23,23,Burlington,Yes
50,443.2,448.2,+,VA3BUR,T SQL,131.8,131.8,23,23,Burlington,Yes
68,444.825,449.825,+,VE3RSB,Tone,131.8,88.5,23,23,Burlington,Yes
73,53.59,52.59,-,VE3DUO,Tone,131.8,88.5,23,23,Burlington,Yes
100,442.0375,447.0375,+,VE3RSB,None,88.5,88.5,23,23,Burlington,Yes
20,146.88,146.28,-,VE3PRC,Tone,103.5,88.5,23,23,Brampton,Yes
28,224.24,222.64,-,VE3WSA,None,88.5,88.5,23,23,Brampton,Yes
54,443.55,448.55,+,VE3PRC,Tone,103.5,88.5,23,23,Brampton,Yes
70,444.95,449.95,+,VA3OPR,Tone,103.5,88.5,23,23,Brampton,Yes
71,53.19,52.19,-,VE3PRC,None,88.5,88.5,23,23,Brampton,Yes
99,146.4,146.4,x,VE3BRT,None,88.5,88.5,23,23,Brampton,Yes
84,146.43,146.43,x,VA3EDE,T SQL,67,67,23,23,Bolton,Yes
7,147.225,147.825,+,VE3YRC,Tone,103.5,88.5,23,23,Aurora,Yes
11,444.1,449.1,+,VE3WDX,Tone,103.5,88.5,23,23,Aurora,Yes
25,147.18,147.78,+,VE3YRK,None,88.5,88.5,23,23,Aurora,Yes
35,224.88,223.28,-,VE3ULR,None,88.5,88.5,23,23,Aurora,Yes
27,147.375,147.975,+,VE3SPA,T SQL,103.5,103.5,23,23,Ajax,Yes
65,444.6,449.6,+,VE3DAX,T SQL,103.5,103.5,23,23,Ajax,Yes
82,442.875,447.875,+,VE3OUR,None,88.5,88.5,23,23,Ajax,Yes
38,29.64,29.54,-,VE3WOO,None,88.5,88.5,23,23,Agincourt,Yes
